"Run Fondo";"run_fondo_largo";"nombre_fondo";"nombre_fm_corto";"vigencia";"estado";"tipo_fondo";"rut_adm";"razon_social_adm";"fecha_deposito";"fecha_ult_modificacion";"fecha_inicio_operaciones";"n_resolucion";"fecha_cumplimiento";"fecha_termino";"numero_registro"
"8078";"8078-0";FONDO MUTUO BANCHILE INVERSIÃ“N USA;INVERSION USA;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-09-14;2022-10-13;1995-06-22;Res. 126 (22/06/1995);1995-06-22;;FM110233
"8300";"8300-3";FONDO MUTUO BANCHILE U.S DOLLAR;U.S. DOLLAR;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-06-05;2022-10-13;2004-05-17;Res. 238 (17/05/2004);2004-07-07;;FM110222
"8189";"8189-2";FONDO MUTUO BANCHILE US MID CAP;US MID CAP;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-09-14;2022-10-19;2001-06-12;Res. 194 (12/06/2001);2001-06-14;;FM110223
"8712";"8712-2";FONDO MUTUO BCI ESTADOS UNIDOS;ESTADOS UNIDOS;Vigente;;"4-FM MIXTO";"96530900-4";BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2014-12-29;2015-07-30;2009-05-19;Res. 230 (19/05/2009);2009-06-02;;FM110434
"8515";"8515-4";FONDO MUTUO BCI USA;USA;Vigente;;"4-FM MIXTO";"96530900-4";BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-08-04;2022-05-24;2007-09-03;Res. 374 (03/09/2007);2007-10-01;;FM110457
"8183";"8183-3";FONDO MUTUO BICE ACCIONES NORTEAMERICA;BICE NORTEAMERICA;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96514410-2";BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-12-27;2022-11-25;2000-12-15;Res. 330 (15/12/2000);2000-12-19;;FM110339
"8205";"8205-8";FONDO MUTUO BTG PACTUAL ACCIONES USA;ACCIONES USA;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96966250-7";BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2020-08-07;2021-09-13;2002-02-07;Res. 252 (07/02/2002);2002-02-07;;FM110095
"8479";"8479-4";FONDO MUTUO ITAU TOP USA;TOP USA;Vigente;;"6-FM DE LIBRE INVERSION";"96980650-9";ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-05-27;2022-01-05;2006-12-05;Res. 539 (05/12/2006);2006-12-07;;FM110249
"8437";"8437-9";FONDO MUTUO LARRAINVIAL ESTADOS UNIDOS;ESTADOS UNIDOS;Vigente;;"6-FM DE LIBRE INVERSION";"96955500-K";LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-08-26;2022-11-03;2006-09-12;Res. 281 (12/09/2006);2006-10-02;;FM110021
"8113";"8113-2";FONDO MUTUO PRINCIPAL USA EQUITY;USA EQUITY;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"91999000-7";PRINCIPAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2017-07-24;2022-03-31;1997-08-01;Res. 18 (01/08/1997);1997-08-01;;FM110282
"8488";"8488-3";FONDO MUTUO SANTANDER GO ACCIONES SELECTAS USA;GO SELECTAS USA;Vigente;;"6-FM DE LIBRE INVERSION";"96667040-1";SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-02-17;2023-06-13;2007-01-28;Res. 558 (28/01/2007);2007-01-28;;FM110405
"8480";"8480-8";FONDO MUTUO SCOTIA ACCIONES USA;ACCIONES USA;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96634320-6";SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2021-05-14;2022-12-14;2006-12-21;Res. 540 (21/12/2006);2006-12-26;;FM110151
"8987";"8987-7";FONDO MUTUO SECURITY INDEX FUND US;INDEX FUND US;Vigente;;"5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION";"96639280-0";ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2020-04-07;2021-06-30;2013-05-04;-;2013-05-04;;FM130620
"8915";"8915-K";FONDO MUTUO SURA SELECCION ACCIONES USA;USA;Vigente;;"6-FM DE LIBRE INVERSION";"76036521-1";ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2021-12-22;2023-09-29;2012-03-20;-;2012-06-14;;FM120548
